x,y
-284.12814936765864,-636.0200052260454
-284.33558598712006,-635.5650679016436
-284.5430226065815,-635.1101305772418
-284.73695954772313,-634.649281266483
-284.9308964888648,-634.1884319557241
-285.12483343000645,-633.7275826449653
-285.3187703711481,-633.2667333342065
-285.51270731228976,-632.8058840234477
-285.7066442534314,-632.3450347126889
-285.89222355164134,-631.8807666242235
-286.07780284985125,-631.4164985357581
-286.26338214806117,-630.9522304472928
-286.4489614462711,-630.4879623588274
-286.634540744481,-630.0236942703621
-286.8201200426909,-629.5594261818967
-286.9798133895501,-629.0856221393807
-287.13950673640926,-628.6118180968647
-287.29920008326843,-628.1380140543487
-287.4588934301276,-627.6642100118327
-287.6185867769868,-627.1904059693167
-287.77828012384595,-626.7166019268006
-287.8883642734548,-626.2288713257652
-287.9984484230636,-625.7411407247298
-288.10853257267246,-625.2534101236944
-288.2186167222813,-624.765679522659
-288.32870087189013,-624.2779489216235
-288.438785021499,-623.7902183205881
-288.52376188016086,-623.2974957381258
-288.60873873882275,-622.8047731556635
-288.69371559748464,-622.3120505732012
-288.77869245614653,-621.8193279907389
-288.8636693148084,-621.3266054082766
-288.9486461734703,-620.8338828258143
-289.01091891503376,-620.3377760833486
-289.0731916565972,-619.8416693408828
-289.13546439816065,-619.3455625984171
-289.1977371397241,-618.8494558559514
-289.26000988128754,-618.3533491134857
-289.322282622851,-617.85724237102
-289.3593623057125,-617.3586207849245
-289.39644198857405,-616.859999198829
-289.4335216714356,-616.3613776127335
-289.4706013542971,-615.862756026638
-289.50768103715865,-615.3641344405424
-289.5447607200202,-614.8655128544469
-289.5818404028817,-614.3668912683514
-289.6082392995486,-613.86758903599
-289.63463819621546,-613.3682868036286
-289.66103709288234,-612.8689845712672
-289.6874359895492,-612.3696823389058
-289.70356831559525,-611.8699513087577
-289.7197006416413,-611.3702202786095
-289.7358329676873,-610.8704892484614
-289.75196529373335,-610.3707582183132
-289.7680976197794,-609.871027188165
-289.77711086448375,-609.3711093327328
-289.7861241091881,-608.8711914773005
-289.79513735389247,-608.3712736218682
-289.80415059859683,-607.871355766436
-289.8131638433012,-607.3714379110037
-289.82217708800556,-606.8715200555714
-289.83265458184997,-606.3716298560107
-289.84313207569437,-605.87173965645
-289.8536095695388,-605.3718494568893
-289.8640870633832,-604.8719592573286
-289.8745645572276,-604.3720690577679
-289.884313074809,-603.8721702398268
-289.89406159239036,-603.3722714218857
-289.90381010997174,-602.8723726039445
-289.91355862755313,-602.3724737860034
-289.9233071451345,-601.8725749680623
-289.9330556627159,-601.3726761501212
-289.9428041802973,-600.87277733218
-289.9489987427906,-600.3728213602286
-289.9551933052839,-599.8728653882772
